Element	Ga	Ge	As	Se	Br	Kr	Rb	Sr	Y	Zr
0.48 	15.950 	16.765 	17.516 	18.193 	18.801 	19.349 	   19.866 	20.383 	20.890 	   21.384 
0.50 	15.410 	16.227 	16.989 	17.682 	18.307 	18.870 	   19.391 	19.902 	20.404 	   20.892 
0.55 	14.142 	14.947 	15.721 	16.444 	17.107 	17.709 	   18.252 	18.764 	19.263 	   19.745 
0.60 	12.996 	13.770 	14.535 	15.269 	15.958 	16.594 	   17.167 	17.696 	18.204 	   18.693 
0.65 	11.974 	12.702 	13.440 	14.166 	14.865 	15.524 	   16.125 	16.678 	17.203 	   17.706 
0.70 	11.073 	11.745 	12.442 	13.145 	13.837 	14.504 	   15.126 	15.702 	16.246 	   16.767 
0.80 	   9.604 	10.151 	10.741 	11.362 	12.001 	12.645 	   13.272 	13.872 	14.443 	   14.996 
0.90 	   8.510 	8.937 	    9.411 	    9.928 	10.480 	11.057 	   11.645 	12.230 	12.798 	   13.361 
1.00 	   7.702 	8.028 	    8.396 	    8.809 	    9.262 	    9.752 	   10.270 	10.806 	11.339 	   11.883 
1.10 	   7.099 	7.348 	    7.631 	    7.952 	    8.312 	    8.711 	    9.147 	    9.612 	10.088 	   10.588 
1.20 	   6.633 	6.830 	    7.050 	    7.299 	    7.580 	    7.898 	    8.252 	    8.640 	    9.046 	9.486 
1.30 	   6.254 	6.419 	    6.597 	    6.795 	    7.016 	    7.266 	    7.548 	    7.863 	    8.200 	8.574 
1.40 	   5.926 	6.076 	    6.231 	    6.395 	    6.574 	    6.773 	    6.996 	    7.249 	    7.523 	7.833 
1.50 	   5.627 	5.774 	    5.917 	    6.063 	    6.216 	    6.380 	    6.562 	    6.764 	    6.985 	7.238 
1.60 	   5.342 	5.493 	    5.636 	    5.775 	    5.913 	    6.056 	    6.210 	    6.376 	    6.554 	6.760 
1.70 	   5.065 	5.224 	    5.372 	    5.511 	    5.645 	    5.778 	    5.913 	    6.055 	    6.205 	6.375 
1.80 	   4.792 	4.961 	    5.117 	    5.262 	    5.398 	    5.528 	    5.656 	    5.785 	    5.914 	6.059 
1.90 	   4.523 	4.702 	    4.867 	    5.020 	    5.162 	    5.295 	    5.420 	    5.544 	    5.662 	5.790 
2.00 	   4.260 	4.447 	    4.621 	    4.782 	    4.932 	    5.071 	    5.200 	    5.323 	    5.440 	5.558 
2.50 	   3.097 	3.287 	    3.475 	    3.658 	    3.836 	    4.007 	    4.168 	    4.320 	    4.460 	4.590 
3.00 	   2.277 	2.428 	    2.584 	    2.745 	    2.909 	    3.074 	    3.239 	    3.401 	    3.560 	3.720 
3.50 	   1.772 	    1.876 	    1.988 	    2.108 	    2.235 	    2.369 	    2.507 	    2.649 	    2.780 	2.920 
4.00 	   1.477 	    1.545 	    1.621 	    1.703 	    1.793 	    1.890 	    1.993 	    2.103 	    2.215 	2.335 
5.00 	   1.176 	    1.213 	    1.251 	    1.292 	    1.337 	    1.384 	    1.436 	    1.493 	    1.550 	1.620 
6.00 	   0.998 	    1.030 	    1.061 	    1.092 	    1.123 	    1.154 	    1.186 	    1.219 	    1.250 	1.285 
