Element	H	He	Li	Be	B		C	N	O	F	Ne
0.40 	0.130 	0.738 	1.270 	1.520 	1.681 		1.948 	2.393 	3.006 	3.759 	4.617 
0.42 	0.115 	0.686 	1.221 	1.489 	1.644 		1.880 	2.278 	2.844 	3.551 	4.370 
0.44 	0.101 	0.636 	1.173 	1.458 	1.611 		1.821 	2.178 	2.697 	3.360 	4.139 
0.45 	0.095 	0.613 	1.149 	1.443 	1.596 		1.794 	2.132 	2.629 	3.270 	4.029 
0.46 	0.090 	0.591 	1.125 	1.427 	1.581 		1.770 	2.089 	2.564 	3.183 	3.923 
0.48 	0.079 	0.548 	1.078 	1.395 	1.553 		1.725 	2.011 	2.445 	3.022 	3.722 
0.50 	0.071 	0.509 	1.033 	1.362 	1.526 		1.685 	1.942 	2.338 	2.874 	3.535 
0.55 	0.053 	0.423 	0.924 	1.279 	1.463 		1.603 	1.802 	2.115 	2.559 	3.126 
0.60 	0.040 	0.353 	0.823 	1.195 	1.402 		1.537 	1.697 	1.946 	2.309 	2.517 
0.65 	0.031 	0.295 	0.732 	1.112 	1.339 		1.479 	1.616 	1.816 	2.112 	2.517 
0.70 	0.024 	0.248 	0.650 	1.030 	1.276 		1.426 	1.551 	1.714 	1.956 	2.296 
0.80 	0.015 	0.177 	0.512 	0.876 	1.147 		1.322 	1.445 	1.568 	1.735 	1.971 
0.90 	0.010 	0.129 	0.404 	0.740 	1.020 		1.219 	1.353 	1.463 	1.588 	1.757 
1.00 	0.007 	0.095 	0.320 	0.622 	0.900 		1.114 	1.265 	1.377 	1.482 	1.609 
1.10 	0.005 	0.072 	0.255 	0.522 	0.790 		1.012 	1.172 	1.298 	1.398 	1.502 
1.20 	0.003 	0.055 	0.205 	0.439 	0.690 		0.914 	1.090 	1.221 	1.324 	1.418 
1.30 	0.003 	0.042 	0.165 	0.369 	0.602 		0.822 	1.004 	1.145 	1.254 	1.346 
1.40 	0.002 	0.033 	0.134 	0.311 	0.524 		0.736 	0.921 	1.070 	1.186 	1.280 
1.50 	0.001 	0.026 	0.110 	0.263 	0.457 		0.659 	0.843 	0.997 	1.120 	1.218 
1.60 		0.021 	0.091 	0.223 	0.398 		0.588 	0.769 	0.926 	1.055 	1.158 
1.70 		0.017 	0.075 	0.190 	0.347 		0.525 	0.700 	0.857 	0.990 	1.099 
1.80 		0.014 	0.063 	0.163 	0.304 		0.468 	0.636 	0.792 	0.928 	1.041 
1.90 		0.011 	0.053 	0.139 	0.266 		0.418 	0.578 	0.731 	0.868 	0.984 
2.00 		0.010 	0.044 	0.120 	0.233 		0.373 	0.525 	0.674 	0.810 	0.929 
2.50 		0.004 	0.021 	0.060 	0.126 		0.216 	0.324 	0.443 	0.564 	0.680 
3.00 		0.002 	0.011 	0.033 	0.072 		0.130 	0.204 	0.292 	0.389 	0.489 
3.50 		0.001 	0.006 	0.019 	0.043 		0.081 	0.132 	0.196 	0.270 	0.331 
4.00 		0.001 	0.004 	0.012 	0.027 		0.053 	0.088 	0.134 	0.190 	0.254 
5.00 			0.002 	0.005 	0.012 		0.025 	0.043 	0.067 	0.099 	0.137 
6.00 			0.001 	0.003 	0.006 		0.013 	0.023 	0.037 	0.055 	0.079 
