Element	Nb	Mo	Tc	Ru	Rh	Pd	Ag	Cd	In	Sn
0.32 	26.888 	27.543 	28.250 	28.949 	29.717 	30.505 	31.378 	32.210 	33.025 	   33.775 
0.34 	26.126 	26.749 	27.435 	28.079 	28.807 	29.540 	30.387 	31.210 	32.025 	   32.786 
0.35 	25.760 	26.368 	27.042 	27.662 	28.370 	29.077 	29.910 	30.725 	31.538 	   32.303 
0.36 	25.404 	25.998 	26.660 	27.257 	27.944 	28.628 	29.444 	30.252 	31.060 	   31.828 
0.38 	24.721 	25.289 	25.925 	26.480 	27.130 	27.769 	28.551 	29.338 	30.134 	   30.902 
0.40 	24.077 	24.620 	25.229 	25.749 	26.363 	26.961 	27.707 	28.468 	29.247 	   30.011 
0.42 	23.468 	23.989 	24.571 	25.062 	25.642 	26.202 	26.911 	27.644 	28.401 	   29.154 
0.44 	22.892 	23.394 	23.949 	24.415 	24.964 	25.491 	26.163 	26.865 	27.596 	   28.334 
0.45 	22.615 	23.109 	23.651 	24.106 	24.640 	25.153 	25.805 	26.492 	27.209 	   27.938 
0.46 	22.346 	22.832 	23.361 	23.807 	24.327 	24.825 	25.459 	26.129 	26.832 	   27.551 
0.48 	21.829 	22.300 	22.806 	23.235 	23.729 	24.201 	24.800 	25.436 	26.108 	   26.805 
0.50 	21.336 	21.796 	22.280 	22.696 	23.167 	23.617 	24.181 	24.784 	25.425 	   26.096 
0.55 	20.195 	20.638 	21.080 	21.476 	21.900 	22.307 	22.795 	23.320 	23.881 	   24.482 
0.60 	19.156 	19.595 	20.012 	20.403 	20.798 	21.177 	21.607 	22.063 	22.552 	   23.081 
0.65 	18.187 	18.635 	19.042 	19.438 	19.820 	20.186 	20.575 	20.978 	21.405 	   21.868 
0.70 	17.268 	17.732 	18.142 	18.551 	18.932 	19.296 	19.661 	20.027 	20.408 	   20.815 
0.80 	15.533 	16.036 	16.477 	16.922 	17.326 	17.711 	18.069 	18.405 	18.736 	   19.073 
0.90 	13.915 	14.448 	14.925 	15.405 	15.845 	16.266 	16.651 	17.000 	17.329 	   17.646 
1.00 	12.427 	12.968 	13.466 	13.968 	14.440 	14.893 	15.316 	15.698 	16.053 	   16.384 
1.10 	11.098 	11.621 	12.116 	12.620 	13.107 	13.580 	14.035 	14.451 	14.840 	   15.201 
1.20 	9.945 	10.430 	10.900 	11.385 	11.866 	12.342 	12.813 	13.253 	13.670 	   14.062 
1.30 	8.972 	9.404 	    9.833 	10.282 	10.740 	11.200 	11.669 	12.116 	12.548 	   12.962 
1.40 	8.169 	8.542 	    8.919 	    9.323 	    9.743 	10.173 	10.623 	11.060 	11.492 	   11.913 
1.50 	7.516 	7.831 	    8.154 	    8.506 	    8.880 	    9.270 	    9.687 	10.101 	10.518 	   10.933 
1.60 	6.969 	7.251 	    7.521 	    7.823 	    8.148 	    8.492 	    8.869 	    9.249 	    9.639 	   10.034 
1.70 	6.564 	6.780 	    7.004 	    7.258 	    7.535 	    7.833 	    8.165 	    8.505 	    8.860 	9.227 
1.80 	6.216 	6.397 	    6.582 	    6.794 	    7.028 	    7.282 	    7.569 	    7.867 	    8.184 	8.516 
1.90 	5.927 	6.080 	    6.234 	    6.412 	    6.608 	    6.824 	    7.069 	    7.326 	    7.603 	7.897 
2.00 	5.680 	5.813 	    5.946 	    6.097 	    6.262 	    6.443 	    6.651 	    6.871 	    7.110 	7.367 
2.50 	4.710 	4.827 	    4.930 	    5.040 	    5.140 	    5.240 	    5.351 	    5.461 	    5.577 	5.702 
3.00 	3.860 	3.988 	    4.110 	    4.230 	    4.350 	    4.460 	    4.566 	    4.665 	    4.761 	4.853 
3.50 	3.065 	3.217 	    3.350 	    3.485 	    3.620 	    3.740 	    3.862 	    3.977 	    4.087 	4.192 
4.00 	2.405 	2.581 	    2.690 	    2.820 	    2.940 	    3.080 	    3.207 	    3.330 	    3.449 	3.565 
5.00 	1.690 	    1.766 	    1.840 	    1.925 	    2.012 	    2.100 	    2.206 	    2.304 	    2.406 	2.509 
6.00 	1.327 	    1.373 	    1.420 	    1.470 	    1.520 	    1.575 	    1.635 	    1.698 	    1.746 	1.835 
