Element	Sc	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn
0.14 	16.968 	17.974 	   19.011 	   20.378 	   21.128 	   22.197 	   23.270 	   24.344 	   25.726 	   26.492 
0.15 	16.645 	17.635 	   18.661 	   20.022 	   20.764 	   21.829 	   22.900 	   23.973 	   25.370 	   26.124 
0.16 	16.330 	17.304 	   18.317 	   19.667 	   20.404 	   21.465 	   22.533 	   23.604 	   25.009 	   25.754 
0.17 	16.023 	16.980 	   17.980 	   19.312 	   20.049 	   21.104 	   22.168 	   23.237 	   24.645 	   25.385 
0.18 	15.722 	16.663 	   17.649 	   18.960 	   19.699 	   20.748 	   21.806 	   22.872 	   24.278 	   25.017 
0.19 	15.426 	16.351 	   17.323 	   18.609 	   19.354 	   20.395 	   21.448 	   22.510 	   23.910 	   24.649 
0.20 	15.135 	16.044 	   17.003 	   18.260 	   19.012 	   20.046 	   21.093 	   22.150 	   23.540 	   24.283 
0.22 	14.564 	15.444 	   16.376 	   17.570 	   18.342 	   19.359 	   20.393 	   21.438 	   22.798 	   23.556 
0.24 	14.006 	14.859 	   15.765 	   16.893 	   17.686 	   18.685 	   19.704 	   20.737 	   22.057 	   22.836 
0.25 	13.732 	14.572 	   15.465 	   16.561 	   17.364 	   18.354 	   19.364 	   20.390 	   21.687 	   22.478 
0.26 	13.462 	14.289 	   15.169 	   16.232 	   17.045 	   18.025 	   19.027 	   20.046 	   21.319 	   22.122 
0.28 	12.933 	13.735 	   14.589 	   15.588 	   16.417 	   17.378 	   18.361 	   19.365 	   20.589 	   21.417 
0.30 	12.423 	13.198 	   14.026 	   14.965 	   15.806 	   16.744 	   17.709 	   18.696 	   19.869 	   20.720 
0.32 	11.934 	12.682 	   13.482 	   14.365 	   15.211 	   16.127 	   17.072 	   18.040 	   19.162 	   20.034 
0.34 	11.467 	12.187 	   12.959 	   13.790 	   14.634 	   15.527 	   16.450 	   17.398 	   18.472 	   19.359 
0.35 	11.244 	11.949 	   12.705 	   13.513 	   14.353 	   15.233 	   16.145 	   17.084 	   18.133 	   19.027 
0.36 	11.027 	11.717 	   12.458 	   13.242 	   14.078 	   14.945 	   15.845 	   16.773 	   17.799 	   18.698 
0.38 	10.613 	11.271 	   11.982 	   12.720 	   13.543 	   14.384 	   15.260 	   16.165 	   17.145 	   18.051 
0.40 	10.226 	10.852 	   11.530 	   12.227 	   13.031 	   13.845 	   14.695 	   15.576 	   16.514 	   17.421 
0.42 	   9.866 	10.459 	   11.105 	   11.762 	   12.543 	   13.328 	   14.151 	   15.008 	   15.904 	   16.809 
0.44 	   9.534 	10.093 	   10.705 	   11.326 	   12.080 	   12.835 	   13.630 	   14.461 	   15.318 	   16.216 
0.45 	   9.377 	9.920 	   10.515 	   11.118 	   11.858 	   12.598 	   13.379 	   14.196 	   15.034 	   15.926 
0.46 	   9.227 	9.753 	   10.332 	   10.917 	   11.642 	   12.367 	   13.133 	   13.937 	   14.757 	   15.642 
0.48 	   8.946 	9.438 	    9.984 	   10.536 	   11.228 	   11.922 	   12.659 	   13.435 	   14.219 	   15.090 
0.50 	   8.687 	9.148 	    9.660 	   10.180 	   10.840 	   11.502 	   12.209 	   12.956 	   13.707 	   14.559 
0.55 	   8.132 	8.518 	    8.952 	    9.400 	    9.973 	   10.557 	   11.188 	   11.862 	   12.533 	   13.328 
0.60 	   7.682 	8.007 	    8.373 	    8.756 	    9.245 	    9.753 	   10.309 	   10.909 	   11.507 	   12.235 
0.65 	   7.312 	7.588 	    7.898 	    8.227 	    8.639 	    9.077 	    9.561 	   10.090 	   10.621 	   11.276 
0.70 	   6.996 	7.240 	    7.506 	    7.791 	    8.137 	    8.512 	    8.930 	    9.392 	    9.861 	   10.442 
0.80 	   6.460 	6.676 	    6.892 	    7.118 	    7.368 	    7.645 	    7.955 	    8.301 	    8.663 	9.108 
0.90 	   5.975 	6.200 	    6.406 	    6.606 	    6.808 	    7.023 	    7.259 	    7.519 	    7.799 	8.132 
1.00 	   5.501 	5.752 	    5.972 	    6.172 	    6.359 	    6.545 	    6.738 	    6.944 	    7.166 	7.417 
1.10 	   5.030 	5.310 	    5.553 	    5.768 	    5.962 	    6.143 	    6.318 	    6.495 	    6.681 	6.879 
1.20 	   4.570 	4.872 	    5.139 	    5.372 	    5.586 	    5.775 	    5.950 	    6.118 	    6.285 	6.453 
1.30 	   4.131 	4.445 	    4.730 	    4.982 	    5.215 	    5.420 	    5.601 	    5.776 	    5.939 	6.096 
1.40 	   3.722 	4.038 	    4.333 	    4.597 	    4.849 	    5.070 	    5.270 	    5.451 	    5.617 	5.775 
1.50 	   3.352 	3.660 	    3.956 	    4.226 	    4.490 	    4.725 	    4.939 	    5.133 	    5.308 	5.473 
1.60 	   3.023 	3.316 	    3.604 	    3.874 	    4.144 	    4.388 	    4.611 	    4.819 	    5.005 	5.180 
1.70 	   2.733 	3.006 	    3.281 	    3.545 	    3.814 	    4.062 	    4.295 	    4.511 	    4.705 	4.892 
1.80 	   2.485 	2.734 	    2.992 	    3.244 	    3.506 	    3.753 	    3.989 	    4.211 	    4.413 	4.610 
1.90 	   2.271 	2.496 	    2.733 	    2.971 	    3.221 	    3.463 	    3.697 	    3.922 	    4.128 	4.332 
2.00 	   2.090 	2.290 	    2.506 	    2.727 	    2.963 	    3.195 	    3.424 	    3.647 	    3.855 	4.063 
2.50 	   1.533 	    1.637 	    1.756 	    1.888 	    2.037 	    2.197 	    2.366 	    2.543 	    2.721 	2.908 
3.00 	   1.279 	    1.338 	    1.404 	    1.479 	    1.563 	    1.658 	    1.763 	    1.878 	    2.001 	2.135 
3.50 	   1.125 	    1.171 	    1.217 	    1.266 	    1.319 	    1.377 	    1.441 	    1.512 	    1.590 	1.677 
4.00 	   0.998 	    1.044 	    1.087 	    1.129 	    1.171 	    1.213 	    1.258 	    1.306 	    1.358 	1.414 
5.00 	   0.770 	0.821 	    0.869 	    0.914 	    0.956 	    0.995 	    1.033 	    1.069 	    1.105 	1.140 
6.00 	   0.577 	0.627 	    0.677 	    0.724 	    0.769 	    0.813 	    0.853 	    0.892 	    0.929 	0.964 
